2018-10-06 15:55:05-09;Campomanesia adamantium;Guabiroba;São consumidos in natura e muito apreciados pelo sabor.;1;fruto
2018-10-06 15:55:05-09;Psidium spp.;Araçá;Existem muitos tipos de araças, consumidos in natura, sorvetes ou na forma de geléias.;1;fruto
2018-10-06 15:55:05-09;Sabicea brasiliensis;Sangue-de-cristo;Fruto pequeno e doce, consumido normalmente in natura.;1;fruto
2018-10-06 15:55:05-09;Brosimum gaudichaudii;Mama-cadela;Fruto leitoso, consumida in natur.;1;fruto
2018-10-06 15:55:05-09;Sterculia spp.;Chichá;As castanhas são consumidas cruas ou torradas.;1;fruto
2018-10-06 15:55:05-09;Anacardium humile;Cajuzinho-do-cerrado;O pseudofruto contém é pequeno de sabor adocicado e menos adstrigente do que o fruto grande.;1;fruto
2018-10-06 15:55:05-09;Anacardium occidentale;Cajueiro;O pseudofruto contém grande quantidade de suco, e a castanha torrada também é comestível, assim como o caju do nordeste.;1;fruto
2018-10-06 15:55:05-09;Euterpe edulis;Juçara ou Açaí-do-cerrado;Possui os mesmos usos do açaí tradicional amazônico, sendo também preparados com eles bebidas e sorvetes;1;fruto
2018-10-06 15:55:05-09;Acrocomia aculeata;Macaúba;Come-se a amêndoa ou extrai-se o óleo do Fruto.;1;fruto
2018-10-06 15:55:05-09;Syagrus romanzoffiana;Jerivá;É consumida in natura tanto a parte externa quanto a amêndoa.;1;fruto
2018-10-06 15:55:05-09;Mauritia flexuosa;Buriti;Para fazer o suco de buriti, deixe o fruto de molho em água para que ele solte a polpa. Logo em seguida, bata com água.;1;fruto
2018-10-06 15:55:05-09;Orbignya phalerata;Babaçu;Come-se a amêndoa ou extrai-se o óleo. Da parte clara da casca (endocarpo) pode ser extraída a farinha de babaçu.;1;fruto
2018-10-06 15:55:05-09;Passiflora spp.;Maracujá-do-cerrado;De sabor ácido, é muito apreciado in natura, sucos e sobremesas.;1;fruto
2018-10-06 15:55:05-09;Caryocar brasiliense;Pequi;Caroços de cor, sabor e aroma muito marcantes. É preparado com arroz ou frango caipira.;1;fruto
2018-10-06 15:55:05-09;Hancornia speciosa;Mangaba;São consumidas in natura ou na forma de sucos quando estão bem maduras. Dela também pode-se fazer uma ótima mousse.;1;fruto
2018-10-06 15:55:05-09;Salacia crassifolia;Bacupari;Consumidos in natura são muito apreciados pelo sabor adocicado.;1;fruto
2018-10-06 15:55:05-09;Dipteryx alata;Baru;Sua polpa é consumida in natura ou na forma de doces, e a amêndoa torrada pode ser processada de várias maneiras.;1;fruto
2018-10-06 15:55:05-09;Hymenaea stigonocarpa;Jatobá-do-cerrado;A polpa é transformada em farinha para confecção de bolos, pães e mingaus.;1;fruto
